"Data","Segmento","Empresa","GrupoProblema","Ocorrencias"
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Contrato / Oferta",5611
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Entrega do Produto",7
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Informação",363
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Saúde e Segurança",1
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","NET","Vício de Qualidade",3061
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Atendimento / SAC",670
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Cobrança / Contestação",2823
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Contrato / Oferta",952
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Entrega do Produto",7
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Informação",65
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Nextel","Vício de Qualidade",409
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Atendimento / SAC",1409
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Cobrança / Contestação",6298
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Contrato / Oferta",2258
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Entrega do Produto",34
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Informação",120
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Saúde e Segurança",4
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Celular","Vício de Qualidade",1206
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Atendimento / SAC",4457
"2017","Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura)","Oi Fixo","Cobrança / Contestação",24602
